Reference_number,Total_LAI,Method,PFT,Vegetation_status,Dominant_species,Country,Latitude,Longitude,MAT_(Literature value),MAP_(Literature value),Potentially_erroneous_data,gauci_biome,pft_step,species_step,climate_step,spatial_step,LAI,LAI_numeric,q1,q3,iqr,lower_bound,upper_bound,is_outlier,outlier_type
524,1.45,D,DC,Natural,Taxodium distichum,USA,30.825,-82.38333333,NA,1280,NA,Temperate Conifer Forests,Temperate Conifer Forests,ambiguous,ambiguous,Temperate Conifer Forests,1.45,1.45,3.3125,7.59,4.2775,-3.10375,14.00625,FALSE,Within IQR
525,1.91,D,EC,Natural,"Cupressus pygmaea, Vaccinium ovatum, Pinus contorta",USA,39.33333333,-123.75,11.6,970,NA,Temperate Conifer Forests,Temperate Conifer Forests,ambiguous,"Mediterranean Forests, Woodlands & Scrub",Temperate Conifer Forests,1.91,1.91,3.3125,7.59,4.2775,-3.10375,14.00625,FALSE,Within IQR
526,7.34,D,EB,Natural,"Dacyodes excelsa, Sloanea beteriana, Manilkara bidentata et al.",Puerto Rico,18.33,-65.82,22.3,3760,NA,Tropical & Subtropical Moist Broadleaf Forests,Tropical & Subtropical Moist Broadleaf Forests,ambiguous,Tropical & Subtropical Moist Broadleaf Forests,Tropical & Subtropical Moist Broadleaf Forests,7.34,7.34,3.0925000000000002,6.71,3.6174999999999997,-2.3337499999999993,12.13625,FALSE,Within IQR
527,3.3,O,EB,Natural,Prestoea montana,Puerto Rico,18.28,-65.77,20.464,3682.825,NA,Tropical & Subtropical Moist Broadleaf Forests,Tropical & Subtropical Moist Broadleaf Forests,ambiguous,Tropical & Subtropical Moist Broadleaf Forests,Tropical & Subtropical Moist Broadleaf Forests,3.3,3.3,3.0925000000000002,6.71,3.6174999999999997,-2.3337499999999993,12.13625,FALSE,Within IQR
527,4.96,O,EB,Natural,Cyrilla racemiflora,Puerto Rico,18.29,-65.78,20.579,3725,NA,Tropical & Subtropical Moist Broadleaf Forests,Tropical & Subtropical Moist Broadleaf Forests,ambiguous,Tropical & Subtropical Moist Broadleaf Forests,Tropical & Subtropical Moist Broadleaf Forests,4.96,4.96,3.0925000000000002,6.71,3.6174999999999997,-2.3337499999999993,12.13625,FALSE,Within IQR
527,3.25,O,EB,Natural,Tabebuia rigida,Puerto Rico,18.27,-65.77,19.314,4311.4,NA,Temperate Broadleaf & Mixed Forests,Temperate Broadleaf & Mixed Forests,ambiguous,Temperate Broadleaf & Mixed Forests,Tropical & Subtropical Moist Broadleaf Forests,3.25,3.25,2.415,5.75,3.335,-2.5874999999999995,10.7525,FALSE,Within IQR
528,2.02,D,sDB,Natural,"Tabebuia rigida, Ocotea spathulata, Clusia sp.",Puerto Rico,18,-66.95,NA,900,NA,"Temperate Grasslands, Savannas &Shrublands","Temperate Grasslands, Savannas &Shrublands",ambiguous,ambiguous,Trop. & Subtrop. Dry Broadleaf Forests,2.02,2.02,1.965,8.3275,6.362500000000001,-7.578750000000001,17.871250000000003,FALSE,Within IQR
528,7.34,D,EB,Natural,Dacryodes excelsa,Puerto Rico,18.33,-65.82,NA,3700,NA,Temperate Broadleaf & Mixed Forests,Temperate Broadleaf & Mixed Forests,ambiguous,ambiguous,Tropical & Subtropical Moist Broadleaf Forests,7.34,7.34,2.415,5.75,3.335,-2.5874999999999995,10.7525,FALSE,Within IQR
528,1.99,D,EB,Natural,Tabebuia rigida,Puerto Rico,18.27,-65.77,NA,5000,NA,Temperate Broadleaf & Mixed Forests,Temperate Broadleaf & Mixed Forests,ambiguous,ambiguous,Tropical & Subtropical Moist Broadleaf Forests,1.99,1.99,2.415,5.75,3.335,-2.5874999999999995,10.7525,FALSE,Within IQR
529,4.3,O,sDB,Natural,"Gymnantbes lucida, Exostema caribaeum, Pisonia albida (169 species)",Puerto Rico,18,-66.95,25.1,860,NA,"Trop. & Subtrop. Grasslands, Savannas &","Trop. & Subtrop. Grasslands, Savannas &",ambiguous,Trop. & Subtrop. Dry Broadleaf Forests,Trop. & Subtrop. Dry Broadleaf Forests,4.3,4.3,3.2125000000000004,6.445,3.2325,-1.6362499999999995,11.29375,FALSE,Within IQR
530,4.95,O,EB,Natural,"Eucalyptus maculata, Ecucalyptus paniculata, Eucalyptus globoidea, Eucalyptus pilularis, Eucalyptus sieberi",Australia,-35.35,150.18,15.8,1204,NA,Temperate Broadleaf & Mixed Forests,Temperate Broadleaf & Mixed Forests,ambiguous,Temperate Broadleaf & Mixed Forests,Temperate Broadleaf & Mixed Forests,4.95,4.95,2.415,5.75,3.335,-2.5874999999999995,10.7525,FALSE,Within IQR
531,10,D,sDB,Plantation,"Albizia falcata, various tree species",Philippines,8.833333333,126.2416667,27,4500,NA,"Trop. & Subtrop. Grasslands, Savannas &","Trop. & Subtrop. Grasslands, Savannas &",ambiguous,Tropical & Subtropical Moist Broadleaf Forests,Tropical & Subtropical Moist Broadleaf Forests,10,10,3.2125000000000004,6.445,3.2325,-1.6362499999999995,11.29375,FALSE,Within IQR
531,10.4,D,sDB,Plantation,Swietenia macrophylla,Philippines,8.833333333,126.2416667,27,4500,NA,"Trop. & Subtrop. Grasslands, Savannas &","Trop. & Subtrop. Grasslands, Savannas &",ambiguous,Tropical & Subtropical Moist Broadleaf Forests,Tropical & Subtropical Moist Broadleaf Forests,10.4,10.4,3.2125000000000004,6.445,3.2325,-1.6362499999999995,11.29375,FALSE,Within IQR
531,10.2,D,sDB,Natural,Dipterocarp,Philippines,8.833333333,126.2416667,27,4500,NA,"Trop. & Subtrop. Grasslands, Savannas &","Trop. & Subtrop. Grasslands, Savannas &",Tropical & Subtropical Moist Broadleaf Forests,Tropical & Subtropical Moist Broadleaf Forests,Tropical & Subtropical Moist Broadleaf Forests,10.2,10.2,3.2125000000000004,6.445,3.2325,-1.6362499999999995,11.29375,FALSE,Within IQR
532,1.2,D,Mix,Natural,"Evergreen and deciduous shrub, Graminoids",USA,68.63333333,-149.5666667,NA,NA,NA,Boreal Forests/Taiga,Boreal Forests/Taiga,ambiguous,ambiguous,Tundra,1.2,1.2,1.51,4.4225,2.9125000000000005,-2.8587500000000006,8.791250000000002,FALSE,Within IQR
532,1.39,D,DB,Natural,Salix spp.,USA,68.63333333,-149.5666667,NA,NA,NA,Boreal Forests/Taiga,Boreal Forests/Taiga,ambiguous,ambiguous,Tundra,1.39,1.39,1.51,4.4225,2.9125000000000005,-2.8587500000000006,8.791250000000002,FALSE,Within IQR
532,0.18,D,EB,Natural,"Evergreen shrub (L. palustre, V vitis-ideaea, E. nigrum, L. procumbens)",USA,68.63333333,-149.5666667,NA,NA,NA,Temperate Broadleaf & Mixed Forests,Temperate Broadleaf & Mixed Forests,ambiguous,ambiguous,Tundra,0.18,0.18,2.415,5.75,3.335,-2.5874999999999995,10.7525,FALSE,Within IQR
533,5.5,D,DB,Natural,Prunus pensylvanica,USA,43.94166667,-71.74166667,NA,NA,NA,Temperate Broadleaf & Mixed Forests,Temperate Broadleaf & Mixed Forests,ambiguous,ambiguous,Temperate Broadleaf & Mixed Forests,5.5,5.5,2.415,5.75,3.335,-2.5874999999999995,10.7525,FALSE,Within IQR
533,6.3,D,DB,Natural,Prunus pensylvanica,USA,44.5,-71.18333333,NA,NA,NA,Temperate Broadleaf & Mixed Forests,Temperate Broadleaf & Mixed Forests,ambiguous,ambiguous,Temperate Broadleaf & Mixed Forests,6.3,6.3,2.415,5.75,3.335,-2.5874999999999995,10.7525,FALSE,Within IQR
533,5.4,D,DB,Natural,Prunus pensylvanica,USA,44.78333333,-71.10833333,NA,NA,NA,Temperate Broadleaf & Mixed Forests,Temperate Broadleaf & Mixed Forests,ambiguous,ambiguous,Temperate Broadleaf & Mixed Forests,5.4,5.4,2.415,5.75,3.335,-2.5874999999999995,10.7525,FALSE,Within IQR
534,3.98,D,EC,Natural,Pinus ponderosa,USA,39.58333333,-119.85,11,240,NA,Temperate Conifer Forests,Temperate Conifer Forests,ambiguous,"Temperate Grasslands, Savannas &Shrublands",Deserts & Xeric Shrublands,3.98,3.98,3.3125,7.59,4.2775,-3.10375,14.00625,FALSE,Within IQR
534,8.75,D,EC,Natural,Pinus ponderosa,USA,39.025,-119.7083333,8,481.2,NA,Temperate Conifer Forests,Temperate Conifer Forests,ambiguous,"Mediterranean Forests, Woodlands & Scrub",Deserts & Xeric Shrublands,8.75,8.75,3.3125,7.59,4.2775,-3.10375,14.00625,FALSE,Within IQR
535,5.87,IR,EC,Not described,"Pinus ponderosa, Calocedrus decurrens",USA,36.77,-118.88,NA,NA,NA,Temperate Conifer Forests,Temperate Conifer Forests,ambiguous,ambiguous,Temperate Conifer Forests,5.87,5.87,3.3125,7.59,4.2775,-3.10375,14.00625,FALSE,Within IQR
536,6.1,D,DB,Natural,Acer saccharum,USA,42.98333333,-90.11666667,NA,NA,NA,Temperate Broadleaf & Mixed Forests,Temperate Broadleaf & Mixed Forests,ambiguous,ambiguous,Temperate Broadleaf & Mixed Forests,6.1,6.1,2.415,5.75,3.335,-2.5874999999999995,10.7525,FALSE,Within IQR
537,7.25,O,EB,Natural,"Trichilia tuberculata, Ceiba pentandra, Pseudobombax septenatum, Spondias mombin, Virola surinamensis, Anacardium excelsum",Panama,9.15,-79.85,27,2600,NA,Tropical & Subtropical Moist Broadleaf Forests,Tropical & Subtropical Moist Broadleaf Forests,ambiguous,Tropical & Subtropical Moist Broadleaf Forests,Tropical & Subtropical Moist Broadleaf Forests,7.25,7.25,3.0925000000000002,6.71,3.6174999999999997,-2.3337499999999993,12.13625,FALSE,Within IQR
539,3.8,D,DB,Natural,Betula aetnensis,Italy,37.81666667,15.06666667,NA,1174,NA,Temperate Broadleaf & Mixed Forests,Temperate Broadleaf & Mixed Forests,ambiguous,ambiguous,"Mediterranean Forests, Woodlands & Scrub",3.8,3.8,2.415,5.75,3.335,-2.5874999999999995,10.7525,FALSE,Within IQR
540,4.7,D,DB,Not described,"Carya tomentosa, Liriodendron tulipifera",USA,35.96666667,-79.13333333,15.5,1140,NA,Temperate Broadleaf & Mixed Forests,Temperate Broadleaf & Mixed Forests,ambiguous,Temperate Conifer Forests,Temperate Broadleaf & Mixed Forests,4.7,4.7,2.415,5.75,3.335,-2.5874999999999995,10.7525,FALSE,Within IQR
541,3,D,EC,Natural,Pinus banksiana,Canada,53.9,-104.6833333,NA,406,NA,Temperate Conifer Forests,Temperate Conifer Forests,Boreal Forests/Taiga,ambiguous,Boreal Forests/Taiga,3,3,3.3125,7.59,4.2775,-3.10375,14.00625,FALSE,Within IQR
541,2.2,D,EC,Natural,Pinus banksiana,Canada,53.9,-104.6833333,NA,406,NA,Temperate Conifer Forests,Temperate Conifer Forests,Boreal Forests/Taiga,ambiguous,Boreal Forests/Taiga,2.2,2.2,3.3125,7.59,4.2775,-3.10375,14.00625,FALSE,Within IQR
